Experimento 1

  Filtro: diff   Implementación: C    Imágenes: phoebe1, phoebe2   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000        106021497.15               49.08           666732.69
             1801824         88260603.30               48.98           177874.01
             1500000         73716943.65               49.14           664699.60
             1204224         59227462.20               49.18           438933.79
              960000         47626558.00               49.61           708214.61
              726624         36448899.05               50.16           955498.04
              540000         27864136.40               51.60           515532.09
              369024         18926728.30               51.29           525032.53
              240000         12101548.80               50.42           149835.02
              153600          8091949.30               52.68           191992.66
               60000          3084662.10               51.41           106052.97
               38400          1969575.90               51.29            35728.32
               21600          1122719.00               51.98            36064.76
                9600           499510.85               52.03            13349.82
                6144           319604.00               52.02             4972.52
                2400           127327.65               53.05             2007.21
                1536            82117.95               53.46             1335.29
                 864            47969.35               55.52              829.60
                 384            22125.10               57.62              438.40

  Filtro: diff   Implementación: ASM    Imágenes: phoebe1, phoebe2   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000          8683239.75                4.02           111441.84
             1801824          7323325.50                4.06            62683.45
             1500000          6400489.95                4.27           573864.00
             1204224          5045798.10                4.19           108524.28
              960000          4207979.90                4.38           219393.83
              726624          3546175.20                4.88           453850.76
              540000          2490715.35                4.61           228203.95
              369024          1266600.45                3.43           215189.26
              240000           771077.55                3.21           104736.36
              153600           490960.75                3.20            98400.80
               60000           149247.25                2.49            23709.84
               38400            92299.70                2.40             2487.79
               21600            52600.35                2.44             1089.37
                9600            23033.45                2.40              359.24
                6144            15089.65                2.46              510.13
                2400             6192.40                2.58              251.91
                1536             4450.30                2.90               71.43
                 864             2565.60                2.97              307.24
                 384             1469.90                3.83               82.49

  Filtro: blur   Implementación: C    Imagen: phoebe1   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000      82808436192.90            38337.24         84546065.80
             1801824      68808756108.45            38188.39         98966217.20
             1500000      57037768406.85            38025.18        128934646.06
             1204224      45575266060.35            37846.17        142021674.12
              960000      36054012257.55            37556.26        140605622.20
              726624      27028876174.60            37197.89         86526978.92
              540000      19876960528.00            36809.19         53859372.00
              369024      13360303521.90            36204.43        157334100.95
              240000       8443463083.20            35181.10          6881665.36
              153600       5227795213.95            34035.13          4817754.68
               60000       1853964910.90            30899.42          6406262.65
               38400       1109651557.10            28897.18          5982337.23
               21600        558704452.05            25865.95          6244900.17
                9600        203151278.15            21161.59          4666936.81
                6144        107411915.10            17482.41          6830970.24
                2400         22760170.05             9483.40          2779389.36
                1536          3395704.15             2210.74            33345.34
                 864              943.75                1.09              252.06
                 384              955.05                2.49              300.26

  Filtro: blur   Implementación: ASM    Imagen: phoebe1   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Tiempo por píxel    Desvío estándar
             2160000       8148156834.00             3772.29         43198508.83
             1801824       6774453062.40             3759.78         15102293.37
             1500000       5620890305.10             3747.26         27783026.19
             1204224       4474175623.65             3715.40          7286491.38
              960000       3534469128.60             3681.74           773411.24
              726624       2651701194.90             3649.34          3012676.21
              540000       1946057720.25             3603.81           760527.31
              369024       1307862307.05             3544.11          5856531.50
              240000        833011278.40             3470.88          3420612.61
              153600        521943099.85             3398.07          6272863.07
               60000        197532210.15             3292.20          6224995.88
               38400        125158783.50             3259.34          6473832.34
               21600         71789770.50             3323.60          5226389.52
                9600         33485374.55             3488.06          1830626.61
                6144         17312852.45             2817.85          1549588.05
                2400          2714200.65             1130.92           320640.06
                1536           768687.25              500.45            12149.11
                 864              719.30                0.83              272.18
                 384              577.25                1.50              170.52
