Experimento 2

  Implementación: C   Imagen: phoebe1   Sigma: 5   Cant. muestras: 20
     Radio     Tiempo empleado     Desvío estándar
         1        106612196.35          3715731.65
         2        263901952.95          4254325.99
         3        496091473.70          3844818.96
         4        800732003.00          4820735.17
         3        494497852.90          4221285.21
         8       2718613941.05          3614391.49
        13       6543463304.35          8432024.49
        18      11716309862.85          5856039.13
        23      18055749650.50         80523753.05
        28      25314128117.40          6877928.25
        33      33361549044.40         92130633.19
        38      42215487234.70         16496037.73

  Implementación: ASM   Imagen: phoebe1   Sigma: 5   Cant. muestras: 20
     Radio     Tiempo empleado     Desvío estándar
         1         20054492.65          3737058.41
         2         39321849.05          3536143.19
         3         61140410.30          3025033.29
         4         93775642.30          2811728.18
         3         61964982.10          3375586.95
         8        288523154.95          3540614.50
        13        649797942.70          3772803.67
        18       1159727867.60         38742991.18
        23       1740169902.35          3874648.09
        28       2483196004.80          3418181.67
        33       3460578814.85          3764785.04
        38       4318020881.90          5064772.65
