Experimento 3

  Implementación: C   Imagen: phoebe1   Radio: 50   Cant. muestras: 20
     Sigma     Tiempo empleado     Desvío estándar
         0       7687843033.75          4443130.07
         1       5824206369.30         27318322.99
         1       4066126893.50         13867163.72
         3       4062077938.45          4656123.28
         6       4061515502.10          5532089.94
         9       4062309492.20          4760173.97
        12       4063061736.70          3582951.35
        15       4061276847.15          4304613.16
        18       4063747472.05          5041248.67
        21       4062634921.20          4711675.03
        24       4062073374.40          5064947.99
        27       4061146727.10          4099661.48
        30       4083164188.35         30682908.65
        33       4057489747.10          4579465.19
        36       4065454125.75         11147946.03
        39       4065046745.20         13402295.58
        42       4077141908.35         34722765.50
        45       4062233740.80          5446617.89
        48       4062487946.45          4290529.96
        50       4061813179.00          4910527.56

  Implementación: ASM   Imagen: phoebe1   Radio: 50   Cant. muestras: 20
     Sigma     Tiempo empleado     Desvío estándar
         0       1242658617.00         22896989.01
         1        779270630.35          3257948.84
         1        416030449.05          3899501.08
         3        417526176.15          4867583.60
         6        417457869.00          4850160.04
         9        415944581.85          3577065.02
        12        415574668.65          3587157.17
        15        416270125.60          4153756.27
        18        418084210.85          3416512.89
        21        415386085.20          3808656.13
        24        415638766.65          3533482.16
        27        416041164.40          4615361.21
        30        416585979.45          3832738.44
        33        416757811.95          4129872.09
        36        416841699.25          4461234.91
        39        416577326.00          4368409.28
        42        417220777.80          4633735.75
        45        416662713.30          3695852.81
        48        417437283.35          5174851.23
        50        415959023.60          3523732.88
