Experimento 1

  Filtro: diff   Implementación: C    Imágenes: phoebe1, phoebe2   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Desvío estándar
             2160000        105679476.30           199199.60
             1801824         88327782.60           398411.54
             1500000         73430183.65            90115.37
             1204224         59212777.10           386983.43
              960000         47476752.25           773591.85
              726624         36479942.25          1537373.99
              540000         29007122.15          2852175.97
              369024         23242166.40          4898499.90
              240000         19651608.70          3552257.02
              153600         13927596.90          1714213.88
               60000          5349581.75           814261.08
               38400          3664076.90           359920.64
               21600          1982898.25           298497.42
                9600           947783.30            50175.27
                6144           601710.50            38549.47
                2400           236636.70            26678.28
                1536           157349.70             1109.89
                 864            88449.90             8163.18
                 384            42238.85              738.38

  Filtro: diff   Implementación: C2    Imágenes: phoebe1, phoebe2   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Desvío estándar
             2160000        152034273.15           319272.27
             1801824        127949983.95          1708979.46
             1500000        105788053.75           285978.27
             1204224         85159828.10           565094.97
              960000         68245073.80          1296985.68
              726624         52342951.50          2163814.35
              540000         42502804.70          4076248.29
              369024         31393369.45          6002288.89
              240000         26611537.85          3859269.44
              153600         19373720.80          3611464.43
               60000          7337731.90          1221644.68
               38400          5229226.10           662976.12
               21600          3025562.10           123589.77
                9600          1356498.80            82259.93
                6144           885339.95            21820.96
                2400           347593.00             3773.36
                1536           221270.25             7683.37
                 864           128607.05             1071.70
                 384            58454.95             1925.58

  Filtro: blur   Implementación: ASM    Imagen: phoebe1   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Desvío estándar
             2160000       8133056848.35         48761986.69
             1801824       6748415001.75         10475236.78
             1500000       5612857176.15         42249054.42
             1204224       4463337537.15           877407.65
              960000       3535430754.30          4455733.89
              726624       2650944341.10           655635.84
              540000       1945814333.25           833332.65
              369024       1307069735.70          1504950.04
              240000        834030503.60          3485372.54
              153600        524035332.85          6968521.38
               60000        198132239.05          6228180.24
               38400        124088178.55          6010165.26
               21600         70944122.55          7223795.35
                9600         32848771.35          3042283.18
                6144         17677852.20           796849.67
                2400          2855466.70            41882.54
                1536           760173.00            38913.36
                 864              793.70              406.97
                 384              723.20              424.83

  Filtro: blur   Implementación: ASM2    Imagen: phoebe1   Cant. muestras: 20
    Tamaño de imagen     Tiempo empleado     Desvío estándar
             2160000       8078521432.65          1696393.23
             1801824       6713279861.85          1331045.12
             1500000       5564033497.80          1750997.93
             1204224       4442732972.55           716959.83
              960000       3517645348.65           672309.06
              726624       2636675878.50           650447.61
              540000       1935385021.30           675181.52
              369024       1301226820.15          2158745.63
              240000        832126650.00          4993697.96
              153600        521496208.50          6105577.53
               60000        199255531.15          5268049.69
               38400        126901209.80          5526728.02
               21600         71572512.85          6719546.85
                9600         32226990.85          2700135.33
                6144         17684621.60           627336.71
                2400          2858095.75            47701.62
                1536           770828.10            27382.93
                 864             1075.00              251.51
                 384             1067.20              177.12
